Language,Position,Adposition,Parameters,Mean,CI25,CI975
English,preposition,postverbal,Accuracy,0.98,0.96,0.99
English,preposition,postverbal,Len,1.66,1.58,1.78
English,preposition,postverbal,Arg_status,3.77,3.69,3.88
English,preposition,postverbal,Pronominality,0.78,0.61,0.92
Swedish,preposition,postverbal,Accuracy,0.96,0.92,0.99
Swedish,preposition,postverbal,Len,1.21,1.11,1.33
Swedish,preposition,postverbal,Arg_status,2.85,2.76,2.97
Swedish,preposition,postverbal,Pronominality,1.6,1.39,1.81
Hebrew,preposition,postverbal,Accuracy,0.81,0.74,0.87
Hebrew,preposition,postverbal,Len,1.22,1.17,1.28
Hebrew,preposition,postverbal,Arg_status,0.89,0.84,0.95
Hebrew,preposition,postverbal,Pronominality,3.11,2.96,3.32
Ukrainian,preposition,postverbal,Accuracy,0.82,0.73,0.91
Ukrainian,preposition,postverbal,Len,1.53,1.45,1.62
Ukrainian,preposition,postverbal,Arg_status,0.16,0.08,0.24
Ukrainian,preposition,postverbal,Pronominality,2.14,1.99,2.33
Arabic,preposition,postverbal,Accuracy,0.82,0.75,0.89
Arabic,preposition,postverbal,Len,1.56,1.49,1.63
Arabic,preposition,postverbal,Arg_status,1.36,1.3,1.43
Arabic,preposition,postverbal,Pronominality,2.64,2.43,2.89
Romanian,preposition,postverbal,Accuracy,0.82,0.75,0.89
Romanian,preposition,postverbal,Len,1.53,1.47,1.6
Romanian,preposition,postverbal,Arg_status,1.05,0.99,1.12
Romanian,preposition,postverbal,Pronominality,0.43,0.24,0.62
Italian,preposition,postverbal,Accuracy,0.84,0.81,0.87
Italian,preposition,postverbal,Len,1.76,1.73,1.79
Italian,preposition,postverbal,Arg_status,0.82,0.79,0.85
Italian,preposition,postverbal,Pronominality,0.16,0.08,0.24
Norwegian,preposition,postverbal,Accuracy,0.94,0.91,0.96
Norwegian,preposition,postverbal,Len,1.38,1.33,1.44
Norwegian,preposition,postverbal,Arg_status,2.57,2.52,2.62
Norwegian,preposition,postverbal,Pronominality,1.99,1.88,2.11
Galician,preposition,postverbal,Accuracy,0.84,0.75,0.93
Galician,preposition,postverbal,Len,1.73,1.65,1.82
Galician,preposition,postverbal,Arg_status,0.96,0.88,1.05
Galician,preposition,postverbal,Pronominality,0.48,0.35,0.68
Serbian,preposition,postverbal,Accuracy,0.92,0.85,1.0
Serbian,preposition,postverbal,Len,1.54,1.43,1.69
Serbian,preposition,postverbal,Arg_status,2.48,2.39,2.64
Serbian,preposition,postverbal,Pronominality,-0.22,-0.29,-0.03
Bulgarian,preposition,postverbal,Accuracy,0.86,0.78,0.94
Bulgarian,preposition,postverbal,Len,1.28,1.2,1.38
Bulgarian,preposition,postverbal,Arg_status,1.62,1.54,1.71
Bulgarian,preposition,postverbal,Pronominality,0.08,-0.21,0.4
Indonesian,preposition,postverbal,Accuracy,0.99,0.96,1.0
Indonesian,preposition,postverbal,Len,1.27,1.09,1.47
Indonesian,preposition,postverbal,Arg_status,3.57,3.48,3.76
Indonesian,preposition,postverbal,Pronominality,0.03,-0.06,0.11
Latvian,preposition,postverbal,Accuracy,0.86,0.73,1.0
Latvian,preposition,postverbal,Len,1.27,1.11,1.45
Latvian,preposition,postverbal,Arg_status,1.18,1.05,1.33
Latvian,preposition,postverbal,Pronominality,1.19,0.93,1.42
Greek,preposition,postverbal,Accuracy,0.86,0.72,0.97
Greek,preposition,postverbal,Len,1.74,1.63,1.88
Greek,preposition,postverbal,Arg_status,0.81,0.71,0.92
Greek,preposition,postverbal,Pronominality,-1.03,-1.32,-0.68
Danish,preposition,postverbal,Accuracy,0.94,0.89,0.99
Danish,preposition,postverbal,Len,2.05,1.95,2.21
Danish,preposition,postverbal,Arg_status,2.86,2.78,3.01
Danish,preposition,postverbal,Pronominality,-0.1,-0.31,0.11
Irish,preposition,postverbal,Accuracy,0.84,0.67,1.0
Irish,preposition,postverbal,Len,0.78,0.6,0.93
Irish,preposition,postverbal,Arg_status,1.73,1.6,1.96
Irish,preposition,postverbal,Pronominality,-2.59,-2.92,-2.36
French,preposition,postverbal,Accuracy,0.8,0.76,0.83
French,preposition,postverbal,Len,1.6,1.56,1.63
French,preposition,postverbal,Arg_status,1.35,1.32,1.38
French,preposition,postverbal,Pronominality,0.59,0.47,0.72
Portuguese,preposition,postverbal,Accuracy,0.85,0.79,0.91
Portuguese,preposition,postverbal,Len,2.0,1.93,2.07
Portuguese,preposition,postverbal,Arg_status,1.22,1.16,1.29
Portuguese,preposition,postverbal,Pronominality,0.31,0.14,0.51
Wolof,preposition,postverbal,Accuracy,0.91,0.75,1.0
Wolof,preposition,postverbal,Len,1.62,1.45,1.82
Wolof,preposition,postverbal,Arg_status,1.56,1.4,1.75
Wolof,preposition,postverbal,Pronominality,0.44,0.31,0.55
